state,deaths
California,53158
Florida,39183
New York,37198
Texas,33300
Pennsylvania,30161
Illinois,25365
Ohio,24988
Michigan,19798
New Jersey,18073
North Carolina,15786
Massachusetts,14027
Georgia,13690
Virginia,13528
Indiana,12842
Tennessee,12339
Missouri,12144
Washington,10668
Wisconsin,10638
Maryland,10290
Alabama,9807
Louisiana,9400
Minnesota,9215
Kentucky,9207
Arizona,9073
South Carolina,8250
Oklahoma,7402
Connecticut,7065
Oregon,6951
Iowa,6448
Arkansas,6090
Mississippi,6075
Colorado,5922
Kansas,5223
West Virginia,4753
Nevada,3763
Nebraska,3382
Maine,3070
New Mexico,2906
New Hampshire,2484
Rhode Island,2433
Utah,2359
Idaho,2128
Hawaii,1943
Montana,1867
Delaware,1609
South Dakota,1597
North Dakota,1346
District of Columbia,1335
Vermont,1240
Wyoming,868
Alaska,704
